Concepto;2017;2018;2019;2020;2021
Ingresos;229.234,00;265.595,00;260.174,00;274.515,00;365.817,00
Ingresos totales;229.234,00;265.595,00;260.174,00;274.515,00;365.817,00
Coste de los bienes vendidos;-141.048,00;-163.756,00;-161.782,00;-169.559,00;-212.981,00
Beneficio bruto;88.186,00;101.839,00;98.392,00;104.956,00;152.836,00
Gastos de venta generales y administrativos;-15.261,00;-16.705,00;-18.245,00;-19.916,00;-21.973,00
Gastos de I + D;-11.581,00;-14.236,00;-16.217,00;-18.752,00;-21.914,00
Otros gastos operacionales;-26.842,00;-30.941,00;-34.462,00;-38.668,00;-43.887,00
Beneficio operativo;61.344,00;70.898,00;63.930,00;66.288,00;108.949,00
Gastos por intereses;-2.323,00;-3.240,00;-3.576,00;-2.873,00;-2.645,00
Ingresos por intereses e inversiones;5.201,00;5.686,00;4.961,00;3.763,00;2.843,00
Otros ingresos (gastos) no operativos;-133;-441;422;-87;60
EBT excl. Artículos inusuales;64.089,00;72.903,00;65.737,00;67.091,00;109.207,00
EBT incl. Artículos extraordinarios;64.089,00;72.903,00;65.737,00;67.091,00;109.207,00
Gastos de impuestos;-15.738,00;-13.372,00;-10.481,00;-9.680,00;-14.527,00
Beneficios por operaciones continuadas;48.351,00;59.531,00;55.256,00;57.411,00;94.680,00
Beneficio neto de la empresa;48.351,00;59.531,00;55.256,00;57.411,00;94.680,00
