"Fecha";"Precio"
"1991-12-31";100
"1992-01-02";100,41
"1992-01-03";100,16
"1992-01-06";101,4
"1992-01-07";101,07
"1992-01-08";99,79
"1992-01-09";99,99
"1992-01-10";100,91
"1992-01-13";101,4
"1992-01-14";102,32
"1992-01-15";103,88
"1992-01-16";104,33
"1992-01-17";103,98
"1992-01-20";104,41
"1992-01-21";104,44
"1992-01-22";103,72
"1992-01-23";103,16
"1992-01-24";103,02
"1992-01-27";104,86
"1992-01-28";104,82
"1992-01-29";104,73
"1992-01-30";104,89
"1992-01-31";104,67
"1992-02-03";105,5
"1992-02-04";104,32
"1992-02-05";105,41
"1992-02-06";104,84
"1992-02-07";105,35
"1992-02-10";103,79
"1992-02-11";104,18
"1992-02-12";104,08
"1992-02-13";104,31
"1992-02-14";104,17
"1992-02-17";104,38
"1992-02-18";105,62
"1992-02-19";104,89
"1992-02-20";105,53
"1992-02-21";105,33
"1992-02-24";106,2
"1992-02-25";105,14
"1992-02-26";106,91
"1992-02-27";107,11
"1992-02-28";106,44
"1992-03-02";106,59
"1992-03-03";106,71
"1992-03-04";107,11
"1992-03-05";106,14
"1992-03-06";105,99
"1992-03-09";106,31
"1992-03-10";106,75
"1992-03-11";105,56
"1992-03-12";104,62
"1992-03-13";103,81
"1992-03-16";103,82
"1992-03-17";104,26
"1992-03-18";103,65
"1992-03-19";103,5
"1992-03-20";104,21
"1992-03-23";102,96
"1992-03-24";103,27
"1992-03-25";103,44
"1992-03-26";103,9
"1992-03-27";103,19
"1992-03-30";103,55
"1992-03-31";103,23
"1992-04-01";102,53
"1992-04-02";102,4
"1992-04-03";102,07
"1992-04-06";102,78
"1992-04-07";103,1
"1992-04-08";101,7
"1992-04-09";102,67
"1992-04-10";106,63
"1992-04-13";106,96
"1992-04-14";107,12
"1992-04-15";108,91
"1992-04-16";107,22
"1992-04-17";107,17
"1992-04-20";108,97
"1992-04-21";108,58
"1992-04-22";108,36
"1992-04-23";108,42
"1992-04-24";108,97
"1992-04-27";109,43
"1992-04-28";109,29
"1992-04-29";109,68
"1992-04-30";109,7
"1992-05-01";109,52
"1992-05-04";109,18
"1992-05-05";109,72
"1992-05-06";110,32
"1992-05-07";110,73
"1992-05-08";111,72
"1992-05-11";112,17
"1992-05-12";111,47
"1992-05-13";111,22
"1992-05-14";110,23
"1992-05-15";110,84
"1992-05-18";110,72
"1992-05-19";110,75
"1992-05-20";111,14
"1992-05-21";110,97
"1992-05-22";111,95
"1992-05-25";112,23
"1992-05-26";111,42
"1992-05-27";111,18
"1992-05-28";111,07
"1992-05-29";111,62
"1992-06-01";111,43
"1992-06-02";111,05
"1992-06-03";110,56
"1992-06-04";110,54
"1992-06-05";109,95
"1992-06-08";109,51
"1992-06-09";108,69
"1992-06-10";109,04
"1992-06-11";108,12
"1992-06-12";108,07
"1992-06-15";107,59
"1992-06-16";108,14
"1992-06-17";107,82
"1992-06-18";106,69
"1992-06-19";106,94
"1992-06-22";106,11
"1992-06-23";106,28
"1992-06-24";105,75
"1992-06-25";105,71
"1992-06-26";105,76
"1992-06-29";104,61
"1992-06-30";104,99
"1992-07-01";103,69
"1992-07-02";104,38
"1992-07-03";104,59
"1992-07-06";103,54
"1992-07-07";103,71
"1992-07-08";103,13
"1992-07-09";104,14
"1992-07-10";104,4
"1992-07-13";102,82
"1992-07-14";102,88
"1992-07-15";102,62
"1992-07-16";103,49
"1992-07-17";101,09
"1992-07-20";98,77
"1992-07-21";99,21
"1992-07-22";98,45
"1992-07-23";98,62
"1992-07-24";97,48
"1992-07-27";97,38
"1992-07-28";97,83
"1992-07-29";98,95
"1992-07-30";99,47
"1992-07-31";98,94
"1992-08-03";98,98
"1992-08-04";98,83
"1992-08-05";98,41
"1992-08-06";98,73
"1992-08-07";97,51
